"","calBP","PrDens"
"1344",10657,2.44139393681716e-07
"1345",10656,2.45437887826272e-07
"1346",10655,2.46799640667877e-07
"1347",10654,2.48268665797362e-07
"1348",10653,2.49852094535661e-07
"1349",10652,2.5155741758541e-07
"1350",10651,2.53392494043984e-07
"1351",10650,2.55365559943953e-07
"1352",10649,2.57432204160646e-07
"1353",10648,2.59376117119143e-07
"1354",10647,2.61398560343522e-07
"1355",10646,2.63501712701866e-07
"1356",10645,2.65687711611417e-07
"1357",10644,2.67993041574359e-07
"1358",10643,2.70421709115974e-07
"1359",10642,2.72977624175495e-07
"1360",10641,2.75664573707686e-07
"1361",10640,2.78486193718067e-07
"1362",10639,2.81587069379606e-07
"1363",10638,2.84988944155776e-07
"1364",10637,2.88714645321548e-07
"1365",10636,2.92788078585346e-07
"1366",10635,2.97234216032571e-07
"1367",10634,3.02340617366864e-07
"1368",10633,3.08179099567855e-07
"1369",10632,3.14826328297459e-07
"1370",10631,3.22363747550182e-07
"1371",10630,3.30877443503447e-07
"1372",10629,3.40846546622969e-07
"1373",10628,3.52241637631697e-07
"1374",10627,3.65210740606177e-07
"1375",10626,3.7991158530368e-07
"1376",10625,3.96511690778205e-07
"1377",10624,4.14988173602138e-07
"1378",10623,4.35487995579047e-07
"1379",10622,4.58165000987938e-07
"1380",10621,4.83179851458966e-07
"1381",10620,5.10699919140114e-07
"1382",10619,5.40039387102492e-07
"1383",10618,5.71282619411543e-07
"1384",10617,6.04515988676247e-07
"1385",10616,6.39827800648821e-07
"1386",10615,6.77308202774014e-07
"1387",10614,7.16467902205371e-07
"1388",10613,7.57357509416124e-07
"1389",10612,8.00027882973746e-07
"1390",10611,8.44530025024334e-07
"1391",10610,8.90914965802877e-07
"1392",10609,9.3874538344381e-07
"1393",10608,9.88051188835687e-07
"1394",10607,1.03886208948942e-06
"1395",10606,1.09120753133295e-06
"1396",10605,1.14511663727067e-06
"1397",10604,1.19998288316704e-06
"1398",10603,1.25579407133465e-06
"1399",10602,1.31253487388784e-06
"1400",10601,1.37018664174668e-06
"1401",10600,1.42872722397934e-06
"1402",10599,1.48687409546038e-06
"1403",10598,1.54457219112699e-06
"1404",10597,1.60176220105803e-06
"1405",10596,1.65838054913335e-06
"1406",10595,1.71435941821169e-06
"1407",10594,1.76841624226619e-06
"1408",10593,1.82054896782444e-06
"1409",10592,1.87075531261352e-06
"1410",10591,1.91903274873146e-06
"1411",10590,1.96537849057309e-06
"1412",10589,2.00989624748119e-06
"1413",10588,2.0526348274671e-06
"1414",10587,2.09364281039595e-06
"1415",10586,2.13296847164433e-06
"1416",10585,2.17065971346104e-06
"1417",10584,2.20726015503176e-06
"1418",10583,2.24278581670456e-06
"1419",10582,2.27725294883847e-06
"1420",10581,2.31067802662887e-06
"1421",10580,2.34307774442679e-06
"1422",10579,2.37542121516322e-06
"1423",10578,2.40768561707914e-06
"1424",10577,2.4398493763906e-06
"1425",10576,2.47189215206745e-06
"1426",10575,2.50379481644893e-06
"1427",10574,2.53664127074362e-06
"1428",10573,2.57041890295641e-06
"1429",10572,2.60511649906238e-06
"1430",10571,2.64072416920125e-06
"1431",10570,2.67723327447554e-06
"1432",10569,2.71562494386901e-06
"1433",10568,2.75591937635842e-06
"1434",10567,2.79813832614272e-06
"1435",10566,2.84230491890921e-06
"1436",10565,2.88844344877391e-06
"1437",10564,2.93739440037812e-06
"1438",10563,2.98926956509187e-06
"1439",10562,3.04418238772446e-06
"1440",10561,3.10224767635048e-06
"1441",10560,3.16358126491385e-06
"1442",10559,3.22857652020262e-06
"1443",10558,3.29736627827711e-06
"1444",10557,3.37008046743276e-06
"1445",10556,3.44684498324646e-06
"1446",10555,3.52778044630891e-06
"1447",10554,3.61363865640228e-06
"1448",10553,3.70455515654182e-06
"1449",10552,3.80064981257192e-06
"1450",10551,3.90202381432512e-06
"1451",10550,4.00875653549208e-06
"1452",10549,4.12056389293289e-06
"1453",10548,4.23750244597124e-06
"1454",10547,4.35960743464351e-06
"1455",10546,4.48689014202051e-06
